vehicle_id,vehicle_type,model,year,location,acquired_date
NKWH3Y,SUV,Toyota RAV4,2023,East,2023-01-22
9AVU4P,Mid-Size,Toyota Camry,2019,Central,2023-02-04
7I4S7H,SUV,Toyota RAV4,2021,Central,2023-01-03
JUTFXO,Full-Size,Chevrolet Impala,2022,North,2023-03-05
FSZB7V,Compact,Hyundai Elantra,2023,West,2023-03-24
J1482H,Truck,Ford F-150,2020,East,2023-03-12
FH5KL6,SUV,Ford Explorer,2022,Central,2023-01-28
HOKKV0,SUV,Chevrolet Equinox,2020,East,2023-02-13
JBXTXQ,Compact,Honda Civic,2018,North,2023-03-28
1W10RL,Mid-Size,Toyota Camry,2019,South,2023-02-08
UWUSME,Mid-Size,Honda Accord,2022,North,2023-03-17
P5Z107,Truck,Ford F-150,2022,South,2023-02-21
IZCIBP,Full-Size,Chrysler 300,2021,North,2023-02-14
FNEBRO,SUV,Ford Explorer,2022,West,2023-02-22
PMOAR4,Mid-Size,Honda Accord,2022,East,2023-01-21
FF2SJ2,Compact,Hyundai Elantra,2020,West,2023-02-08
LVUG1W,Full-Size,Chevrolet Impala,2019,Central,2023-01-28
H1W43L,Compact,Toyota Corolla,2023,West,2023-03-10
7BMVTI,SUV,Toyota RAV4,2023,East,2023-02-25
H25YT1,Full-Size,Chevrolet Impala,2018,South,2023-02-05
I8EVM6,SUV,Toyota RAV4,2022,West,2023-03-16
IXFGO2,Mid-Size,Honda Accord,2018,East,2023-02-10
KYU9KI,Truck,Ram 1500,2023,West,2023-03-27
6LH33C,SUV,Ford Explorer,2021,North,2023-02-24
4WKTIG,SUV,Ford Explorer,2022,North,2023-03-21
EFU3RA,Compact,Hyundai Elantra,2022,North,2023-03-30
P040NX,Mid-Size,Nissan Altima,2021,West,2023-01-30
COTBA2,Compact,Hyundai Elantra,2019,East,2023-01-24
HEVK98,Compact,Toyota Corolla,2022,South,2023-03-17
3K5JI9,Full-Size,Ford Taurus,2021,South,2023-01-21
YD5FYP,Full-Size,Ford Taurus,2021,West,2023-03-09
A2Y5W1,Truck,Chevrolet Silverado,2019,Central,2023-01-16
69UAMW,Mid-Size,Toyota Camry,2018,Central,2023-03-20
DEO6L7,Mid-Size,Honda Accord,2021,East,2023-03-04
2KI31W,Mid-Size,Honda Accord,2020,West,2023-02-16
9DNVC9,Compact,Toyota Corolla,2021,North,2023-02-10
ULIAV9,Compact,Honda Civic,2020,Central,2023-02-27
BOXPXZ,Mid-Size,Toyota Camry,2023,North,2023-02-04
8VZKFD,Compact,Toyota Corolla,2022,South,2023-02-05
D3BRWY,Full-Size,Chevrolet Impala,2020,West,2023-01-19
C4PAE4,Mid-Size,Honda Accord,2022,Central,2023-01-15
71M8JI,SUV,Ford Explorer,2021,North,2023-03-22
1LSXF7,Full-Size,Ford Taurus,2021,West,2023-03-09
F9JPJT,Mid-Size,Honda Accord,2021,North,2023-02-09
AGSY84,SUV,Toyota RAV4,2023,North,2023-03-16
721M68,SUV,Ford Explorer,2019,East,2023-02-24
SEBRWT,Mid-Size,Honda Accord,2020,East,2023-02-23
6TX16V,Mid-Size,Toyota Camry,2019,South,2023-01-11
UCXGNT,Full-Size,Ford Taurus,2021,Central,2023-02-18
CZKSMM,Compact,Honda Civic,2023,West,2023-01-10
OBH2ER,Compact,Hyundai Elantra,2021,East,2023-03-03
FTXQ1J,Compact,Honda Civic,2019,East,2023-01-07
UJSCJZ,SUV,Toyota RAV4,2023,East,2023-02-16
2JJKK9,Full-Size,Chevrolet Impala,2022,North,2023-02-03
XNQSTN,Full-Size,Chevrolet Impala,2020,West,2023-01-12
9KPAR4,SUV,Ford Explorer,2018,West,2023-02-12
9RFZX8,Mid-Size,Honda Accord,2020,East,2023-01-19
SA6Y2E,Full-Size,Chevrolet Impala,2022,East,2023-01-23
QQJ4GC,Compact,Toyota Corolla,2021,Central,2023-03-22
I9EUGO,Compact,Toyota Corolla,2019,West,2023-02-01
TAIVAR,Full-Size,Chrysler 300,2018,South,2023-02-06
VHFRZA,Mid-Size,Nissan Altima,2023,North,2023-01-01
M9ML0R,Full-Size,Chevrolet Impala,2020,Central,2023-01-28
O2BZN5,SUV,Toyota RAV4,2022,West,2023-02-01
07EG6O,Full-Size,Chevrolet Impala,2020,West,2023-03-06
3YRBCZ,Full-Size,Ford Taurus,2018,South,2023-01-11
DAH6WZ,Full-Size,Chevrolet Impala,2020,North,2023-03-25
XUJPT9,Mid-Size,Honda Accord,2022,East,2023-01-12
6033Y3,Compact,Hyundai Elantra,2020,West,2023-02-28
CAPBMH,Mid-Size,Nissan Altima,2021,South,2023-01-01
8XBW0L,Compact,Honda Civic,2020,East,2023-03-15
599DQ1,Mid-Size,Honda Accord,2020,Central,2023-03-04
PRLPZA,SUV,Toyota RAV4,2019,South,2023-03-17
20E1SL,Compact,Toyota Corolla,2019,South,2023-03-25
QSHVWN,Compact,Honda Civic,2019,South,2023-03-17
QWSP85,Mid-Size,Toyota Camry,2022,Central,2023-02-25
NZ3DV2,Mid-Size,Nissan Altima,2020,East,2023-03-17
CM279V,Full-Size,Ford Taurus,2022,Central,2023-01-09
BA30GE,Full-Size,Ford Taurus,2019,Central,2023-02-28
F518EZ,SUV,Chevrolet Equinox,2019,East,2023-03-31
7T1VAP,Full-Size,Chevrolet Impala,2023,North,2023-02-03
JDV7BL,Mid-Size,Toyota Camry,2023,South,2023-03-29
YLEGA9,SUV,Toyota RAV4,2020,East,2023-02-15
R7YM7J,Compact,Toyota Corolla,2019,South,2023-02-12
G2TPV8,Compact,Toyota Corolla,2022,North,2023-01-28
K661FD,Compact,Toyota Corolla,2018,Central,2023-01-10
EZO9AN,Full-Size,Chrysler 300,2020,South,2023-03-20
J5EO58,Mid-Size,Toyota Camry,2021,West,2023-03-06
6XFDOR,Compact,Hyundai Elantra,2022,Central,2023-02-06
SBYOD6,Mid-Size,Honda Accord,2018,East,2023-03-28
MIR83D,Compact,Hyundai Elantra,2018,West,2023-01-17
YX580X,Full-Size,Ford Taurus,2019,North,2023-03-12
M6798X,Mid-Size,Toyota Camry,2018,West,2023-02-10
82IB9P,Mid-Size,Honda Accord,2021,Central,2023-02-26
5KM3SY,Mid-Size,Honda Accord,2023,Central,2023-01-04
LWR7RD,Full-Size,Chevrolet Impala,2019,North,2023-02-24
085D9M,Mid-Size,Honda Accord,2020,South,2023-03-03
4W9MVY,Compact,Toyota Corolla,2019,North,2023-03-30
F1F3EG,Compact,Hyundai Elantra,2018,Central,2023-02-01
RGCBKR,Truck,Ram 1500,2022,South,2023-01-07
BEWL14,Truck,Ford F-150,2019,East,2023-01-06
B8Y3RA,Full-Size,Ford Taurus,2021,East,2023-01-14
5UBFHN,Mid-Size,Honda Accord,2022,West,2023-01-27
PP57YW,Truck,Ford F-150,2023,Central,2023-03-16
5JUXK8,SUV,Chevrolet Equinox,2019,South,2023-01-18
ICL3NH,Full-Size,Chevrolet Impala,2021,West,2023-01-14
5FF6LA,Mid-Size,Toyota Camry,2023,South,2023-01-03
P01DKW,Mid-Size,Nissan Altima,2020,North,2023-02-04
XWM5C3,Compact,Honda Civic,2018,North,2023-02-24
7YPNPF,Truck,Ram 1500,2019,South,2023-01-26
HWTRRC,Mid-Size,Honda Accord,2022,East,2023-02-14
58ILWA,Compact,Hyundai Elantra,2022,West,2023-01-22
D6GU50,Mid-Size,Nissan Altima,2019,Central,2023-03-14
JFZO8X,Full-Size,Ford Taurus,2019,East,2023-01-03
AJ0Z0I,Compact,Honda Civic,2019,East,2023-01-19
IHZA3K,SUV,Chevrolet Equinox,2019,North,2023-02-20
RIP1HU,SUV,Toyota RAV4,2022,Central,2023-03-17
CGYUWI,Full-Size,Ford Taurus,2023,South,2023-02-06
HPE5JZ,Mid-Size,Honda Accord,2018,West,2023-01-07
FXHKOE,Full-Size,Chevrolet Impala,2022,West,2023-02-19
E1MUXW,Full-Size,Chrysler 300,2022,Central,2023-01-25
W9WMK2,Full-Size,Ford Taurus,2021,Central,2023-01-28
PU3IIB,Compact,Toyota Corolla,2023,West,2023-03-25
CWSKHZ,Mid-Size,Honda Accord,2018,West,2023-03-26
DZ6QRT,Compact,Honda Civic,2022,North,2023-01-24
DWNQA5,Mid-Size,Toyota Camry,2018,North,2023-02-23
MC29SB,Mid-Size,Nissan Altima,2023,East,2023-02-18
9HIZLD,Compact,Hyundai Elantra,2020,West,2023-03-28
YJ5F60,Compact,Hyundai Elantra,2018,West,2023-03-27
IU7C3Q,Full-Size,Ford Taurus,2022,South,2023-02-01
8HZ8MD,Compact,Toyota Corolla,2022,East,2023-01-03
OVWR7U,Truck,Ford F-150,2020,Central,2023-01-01
