vehicle_id,location,vehicle_type,date,maintenance_type,cost,downtime_days
NKWH3Y,East,SUV,2023-02-26,Oil Change,106.34,0.5
NKWH3Y,East,SUV,2023-03-17,Oil Change,56.39,0.5
NKWH3Y,East,SUV,2023-03-18,Oil Change,90.55,0.5
NKWH3Y,East,SUV,2023-03-24,Oil Change,56.98,0.5
NKWH3Y,East,SUV,2023-03-30,Oil Change,69.47,0.5
NKWH3Y,East,SUV,2023-05-12,Oil Change,54.23,0.5
NKWH3Y,East,SUV,2023-06-13,Oil Change,89.52,0.5
NKWH3Y,East,SUV,2023-07-24,Oil Change,52.65,0.5
NKWH3Y,East,SUV,2023-07-29,Oil Change,131.82,0.5
NKWH3Y,East,SUV,2023-08-12,Oil Change,85.09,0.5
NKWH3Y,East,SUV,2023-09-17,Oil Change,82.01,0.5
NKWH3Y,East,SUV,2023-09-22,Oil Change,58.28,0.5
NKWH3Y,East,SUV,2023-11-19,Oil Change,89.07,0.5
NKWH3Y,East,SUV,2023-11-23,Oil Change,77.09,0.5
NKWH3Y,East,SUV,2023-11-27,Oil Change,53.95,0.5
NKWH3Y,East,SUV,2024-01-20,Oil Change,84.59,0.5
NKWH3Y,East,SUV,2024-02-28,Oil Change,81.52,0.5
NKWH3Y,East,SUV,2024-03-11,Oil Change,77.08,0.5
NKWH3Y,East,SUV,2024-03-17,Oil Change,56.55,0.5
NKWH3Y,East,SUV,2024-03-22,Oil Change,75.78,0.5
NKWH3Y,East,SUV,2024-05-03,Oil Change,64.76,0.5
NKWH3Y,East,SUV,2024-05-20,Oil Change,87.11,0.5
NKWH3Y,East,SUV,2024-06-08,Oil Change,79.55,0.5
NKWH3Y,East,SUV,2024-06-10,Oil Change,81.85,0.5
NKWH3Y,East,SUV,2024-06-23,Oil Change,71.36,0.5
NKWH3Y,East,SUV,2023-02-20,Tire Rotation,118.64,0.5
NKWH3Y,East,SUV,2023-05-04,Tire Rotation,127.25,0.5
NKWH3Y,East,SUV,2023-05-09,Tire Rotation,90.67,0.5
NKWH3Y,East,SUV,2023-08-22,Tire Rotation,124.15,0.5
NKWH3Y,East,SUV,2023-08-28,Tire Rotation,122.6,0.5
NKWH3Y,East,SUV,2023-10-10,Tire Rotation,116.67,0.5
NKWH3Y,East,SUV,2023-10-26,Tire Rotation,66.25,0.5
NKWH3Y,East,SUV,2023-11-02,Tire Rotation,139.81,0.5
NKWH3Y,East,SUV,2023-11-25,Tire Rotation,131.58,0.5
NKWH3Y,East,SUV,2024-02-15,Tire Rotation,117.31,0.5
NKWH3Y,East,SUV,2024-03-23,Tire Rotation,131.9,0.5
NKWH3Y,East,SUV,2023-02-18,Brake Service,309.37,1.0
NKWH3Y,East,SUV,2023-03-08,Brake Service,371.19,1.0
NKWH3Y,East,SUV,2023-05-05,Brake Service,386.88,1.0
NKWH3Y,East,SUV,2023-08-13,Brake Service,397.64,1.0
NKWH3Y,East,SUV,2023-09-08,Brake Service,156.04,1.0
NKWH3Y,East,SUV,2023-11-09,Brake Service,340.82,1.0
NKWH3Y,East,SUV,2023-12-14,Brake Service,308.86,1.0
NKWH3Y,East,SUV,2024-03-18,Engine Repair,746.58,2.5
NKWH3Y,East,SUV,2024-04-07,Recall/Inspection,215.27,1.0
NKWH3Y,East,SUV,2024-04-14,Recall/Inspection,207.43,1.0
9AVU4P,Central,Mid-Size,2023-02-10,Oil Change,63.16,0.5
9AVU4P,Central,Mid-Size,2023-03-04,Oil Change,87.97,0.5
9AVU4P,Central,Mid-Size,2023-03-06,Oil Change,79.14,0.5
9AVU4P,Central,Mid-Size,2023-03-14,Oil Change,74.88,0.5
9AVU4P,Central,Mid-Size,2023-05-03,Oil Change,90.82,0.5
9AVU4P,Central,Mid-Size,2023-05-05,Oil Change,77.05,0.5
9AVU4P,Central,Mid-Size,2023-05-15,Oil Change,45.27,0.5
9AVU4P,Central,Mid-Size,2023-05-20,Oil Change,86.23,0.5
9AVU4P,Central,Mid-Size,2023-05-29,Oil Change,82.75,0.5
9AVU4P,Central,Mid-Size,2023-07-06,Oil Change,70.18,0.5
9AVU4P,Central,Mid-Size,2023-07-13,Oil Change,106.82,0.5
9AVU4P,Central,Mid-Size,2023-07-15,Oil Change,52.98,0.5
9AVU4P,Central,Mid-Size,2023-07-22,Oil Change,109.22,0.5
9AVU4P,Central,Mid-Size,2023-08-06,Oil Change,70.77,0.5
9AVU4P,Central,Mid-Size,2023-10-29,Oil Change,99.3,0.5
9AVU4P,Central,Mid-Size,2023-11-15,Oil Change,73.11,0.5
9AVU4P,Central,Mid-Size,2023-12-08,Oil Change,94.62,0.5
9AVU4P,Central,Mid-Size,2023-12-17,Oil Change,90.22,0.5
9AVU4P,Central,Mid-Size,2023-12-20,Oil Change,49.57,0.5
9AVU4P,Central,Mid-Size,2023-12-31,Oil Change,69.13,0.5
9AVU4P,Central,Mid-Size,2024-02-05,Oil Change,88.75,0.5
9AVU4P,Central,Mid-Size,2024-02-19,Oil Change,86.03,0.5
9AVU4P,Central,Mid-Size,2024-02-20,Oil Change,38.47,0.5
9AVU4P,Central,Mid-Size,2024-03-25,Oil Change,76.68,0.5
9AVU4P,Central,Mid-Size,2024-04-01,Oil Change,77.47,0.5
9AVU4P,Central,Mid-Size,2024-05-20,Oil Change,95.51,0.5
9AVU4P,Central,Mid-Size,2024-06-01,Oil Change,91.41,0.5
9AVU4P,Central,Mid-Size,2024-06-03,Oil Change,86.13,0.5
9AVU4P,Central,Mid-Size,2024-06-08,Oil Change,81.65,0.5
9AVU4P,Central,Mid-Size,2023-03-18,Tire Rotation,70.5,0.5
9AVU4P,Central,Mid-Size,2023-05-27,Tire Rotation,164.05,0.5
9AVU4P,Central,Mid-Size,2023-06-06,Tire Rotation,119.21,0.5
9AVU4P,Central,Mid-Size,2023-06-08,Tire Rotation,134.64,0.5
9AVU4P,Central,Mid-Size,2023-10-08,Tire Rotation,82.11,0.5
9AVU4P,Central,Mid-Size,2023-11-17,Tire Rotation,107.44,0.5
9AVU4P,Central,Mid-Size,2023-11-21,Tire Rotation,140.37,0.5
9AVU4P,Central,Mid-Size,2024-02-03,Tire Rotation,85.23,0.5
9AVU4P,Central,Mid-Size,2024-03-23,Tire Rotation,104.58,0.5
9AVU4P,Central,Mid-Size,2024-04-04,Tire Rotation,173.81,0.5
9AVU4P,Central,Mid-Size,2024-04-09,Tire Rotation,111.52,0.5
9AVU4P,Central,Mid-Size,2024-04-21,Tire Rotation,175.85,0.5
9AVU4P,Central,Mid-Size,2024-05-12,Tire Rotation,105.41,0.5
9AVU4P,Central,Mid-Size,2024-05-19,Tire Rotation,123.53,0.5
9AVU4P,Central,Mid-Size,2023-05-17,Brake Service,387.39,1.0
9AVU4P,Central,Mid-Size,2023-06-01,Brake Service,384.08,1.0
9AVU4P,Central,Mid-Size,2023-09-21,Brake Service,421.57,1.0
9AVU4P,Central,Mid-Size,2023-10-27,Brake Service,334.7,1.0
9AVU4P,Central,Mid-Size,2023-11-05,Brake Service,297.57,1.0
9AVU4P,Central,Mid-Size,2024-03-29,Brake Service,449.18,1.0
9AVU4P,Central,Mid-Size,2024-06-24,Brake Service,466.1,1.0
9AVU4P,Central,Mid-Size,2023-02-24,Engine Repair,1052.59,2.5
9AVU4P,Central,Mid-Size,2023-10-26,Engine Repair,801.27,2.5
9AVU4P,Central,Mid-Size,2024-01-18,Recall/Inspection,232.57,1.0
7I4S7H,Central,SUV,2023-01-25,Oil Change,80.38,0.5
7I4S7H,Central,SUV,2023-02-01,Oil Change,91.89,0.5
7I4S7H,Central,SUV,2023-02-16,Oil Change,52.89,0.5
7I4S7H,Central,SUV,2023-02-28,Oil Change,43.93,0.5
7I4S7H,Central,SUV,2023-03-17,Oil Change,62.59,0.5
7I4S7H,Central,SUV,2023-03-25,Oil Change,116.91,0.5
7I4S7H,Central,SUV,2023-04-08,Oil Change,97.39,0.5
7I4S7H,Central,SUV,2023-05-04,Oil Change,89.01,0.5
7I4S7H,Central,SUV,2023-05-15,Oil Change,85.24,0.5
7I4S7H,Central,SUV,2023-05-19,Oil Change,89.02,0.5
7I4S7H,Central,SUV,2023-06-27,Oil Change,97.39,0.5
7I4S7H,Central,SUV,2023-07-02,Oil Change,68.1,0.5
