date,employee_id,location,role,scheduled_hours,actual_hours,overtime_hours
2023-01-02,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-01-03,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-01-04,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-01-05,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-01-06,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-01-09,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-01-10,E0001,South,Fleet Coordinator,8.0,9.1,1.1
2023-01-11,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-01-12,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-01-13,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-01-16,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-01-17,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-01-18,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-01-19,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-01-20,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-01-23,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-01-24,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-01-25,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-01-26,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-01-27,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-01-30,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-01-31,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-02-01,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-02-02,E0001,South,Fleet Coordinator,8.0,9.2,1.2
2023-02-03,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-02-06,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-02-07,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-02-08,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-02-09,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-02-10,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-02-13,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-02-14,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-02-15,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-02-16,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-02-17,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-02-20,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-02-21,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-02-22,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-02-23,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-02-24,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-02-27,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-02-28,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-03-01,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-03-02,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-03-03,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-03-06,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-03-07,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-03-08,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-03-09,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-03-10,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-03-13,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-03-14,E0001,South,Fleet Coordinator,8.0,10.5,2.5
2023-03-15,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-03-16,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-03-17,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-03-20,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-03-21,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-03-22,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-03-23,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-03-24,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-03-27,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-03-28,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-03-29,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-03-30,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-03-31,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-04-03,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-04-04,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-04-05,E0001,South,Fleet Coordinator,8.0,10.0,2.0
2023-04-06,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-04-07,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-04-10,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-04-11,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-04-12,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-04-13,E0001,South,Fleet Coordinator,8.0,11.0,3.0
2023-04-14,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-04-17,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-04-18,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-04-19,E0001,South,Fleet Coordinator,8.0,9.6,1.6
2023-04-20,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-04-21,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-04-24,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-04-25,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-04-26,E0001,South,Fleet Coordinator,8.0,8.0,0.0
2023-04-27,E0001,South,Fleet Coordinator,8.0,8.0,0.0
